"Datum";"+A/73068189 [kW]";"Status";
"04.01.2025 22:30:00";1,984;"namìøená data OK";
"04.01.2025 22:45:00";1,784;"namìøená data OK";
"04.01.2025 23:00:00";1,832;"namìøená data OK";
"04.01.2025 23:15:00";1,878;"namìøená data OK";
"04.01.2025 23:30:00";1,887;"namìøená data OK";
"04.01.2025 23:45:00";1,906;"namìøená data OK";
"04.01.2025 24:00:00";1,975;"namìøená data OK";
"05.01.2025 00:15:00";1,795;"namìøená data OK";
"05.01.2025 00:30:00";1,895;"namìøená data OK";
"05.01.2025 00:45:00";2,029;"namìøená data OK";
"05.01.2025 01:00:00";2,17;"namìøená data OK";
"05.01.2025 01:15:00";1,939;"namìøená data OK";
"05.01.2025 01:30:00";1,85;"namìøená data OK";
"05.01.2025 01:45:00";2,035;"namìøená data OK";
"05.01.2025 02:00:00";1,996;"namìøená data OK";
"05.01.2025 02:15:00";2,025;"namìøená data OK";
"05.01.2025 02:30:00";1,911;"namìøená data OK";
"05.01.2025 02:45:00";2,129;"namìøená data OK";
"05.01.2025 03:00:00";2,053;"namìøená data OK";
"05.01.2025 03:15:00";2,018;"namìøená data OK";
"05.01.2025 03:30:00";2,104;"namìøená data OK";
"05.01.2025 03:45:00";2,051;"namìøená data OK";
"05.01.2025 04:00:00";1,972;"namìøená data OK";
"05.01.2025 04:15:00";2,119;"namìøená data OK";
"05.01.2025 04:30:00";2,189;"namìøená data OK";
"05.01.2025 04:45:00";2,062;"namìøená data OK";
"05.01.2025 05:00:00";2,011;"namìøená data OK";
"05.01.2025 05:15:00";2,007;"namìøená data OK";
"05.01.2025 05:30:00";4,984;"namìøená data OK";
"05.01.2025 05:45:00";6,342;"namìøená data OK";
"05.01.2025 06:00:00";6,083;"namìøená data OK";
"05.01.2025 06:15:00";5,908;"namìøená data OK";
"05.01.2025 06:30:00";5,729;"namìøená data OK";
"05.01.2025 06:45:00";5,695;"namìøená data OK";
"05.01.2025 07:00:00";5,595;"namìøená data OK";
"05.01.2025 07:15:00";5,493;"namìøená data OK";
"05.01.2025 07:30:00";5,339;"namìøená data OK";
"05.01.2025 07:45:00";5,346;"namìøená data OK";
"05.01.2025 08:00:00";4,596;"namìøená data OK";
"05.01.2025 08:15:00";4,053;"namìøená data OK";
"05.01.2025 08:30:00";3,758;"namìøená data OK";
